type,difficulty,category,question,correct_answer
boolean,easy,General Knowledge,The Great Wall of China is visible from the moon.,FALSE
boolean,easy,General Knowledge,Jingle Bells was originally meant for Thanksgiving,TRUE
boolean,easy,General Knowledge,Nutella is produced by the German company Ferrero.,FALSE
boolean,easy,General Knowledge,French is an official language in Canada.,TRUE
boolean,easy,General Knowledge,The mitochondria is the powerhouse of the cell.,TRUE
boolean,easy,General Knowledge,The Lego Group was founded in 1932.,TRUE
boolean,medium,General Knowledge,Popcorn was invented in 1871 by Frederick W. Rueckheim in the USA where he sold the snack on the streets of Chicago.,FALSE
boolean,easy,General Knowledge,"On average, at least 1 person is killed by a drunk driver in the United States every hour.",TRUE
boolean,medium,General Knowledge,Kissing someone for one minute burns about 2 calories.,TRUE
boolean,easy,General Knowledge,You can legally drink alcohol while driving in Mississippi.,TRUE
boolean,medium,General Knowledge,The scientific name for the Southern Lights is Aurora Australis?,TRUE
boolean,medium,General Knowledge,The vapor produced by e-cigarettes is actually water.,FALSE
boolean,easy,General Knowledge,Dihydrogen Monoxide was banned due to health risks after being discovered in 1983 inside swimming pools and drinking water.,FALSE
boolean,easy,General Knowledge,It is automatically considered entrapment in the United States if the police sell you illegal substances without revealing themselves.,FALSE
boolean,easy,General Knowledge,The color orange is named after the fruit.,TRUE
boolean,easy,General Knowledge,A scientific study on peanuts in bars found traces of over 100 unique specimens of urine.,FALSE
boolean,easy,General Knowledge,"When you cry in space, your tears stick to your face.",TRUE
boolean,medium,General Knowledge,The British organisation CAMRA stands for The Campaign for Real Ale.,TRUE
boolean,medium,General Knowledge,Cucumbers are usually more than 90% water.,TRUE
boolean,medium,General Knowledge,The average woman is 5 inches / 13 centimeters shorter than the average man.,TRUE
boolean,medium,General Knowledge,There are 86400 seconds in a day.,TRUE
boolean,medium,General Knowledge,Haggis is traditionally ate on Burns Night.,TRUE
boolean,easy,General Knowledge,"Romanian belongs to the Romance language family, shared with French, Spanish, Portuguese and Italian. ",TRUE
boolean,medium,General Knowledge,The US emergency hotline is 911 because of the September 11th terrorist attacks.,FALSE
boolean,medium,General Knowledge,Francis Bacon died from a fatal case of pneumonia while he was attempting to preserve meat by stuffing a chicken with snow.,TRUE
boolean,easy,General Knowledge,The Sun rises from the North.,FALSE
boolean,easy,General Knowledge,"In 2010, Twitter and the United States Library of Congress partnered together to archive every tweet by American citizens.",TRUE
boolean,easy,General Knowledge,Bulls are attracted to the color red.,FALSE
boolean,medium,General Knowledge,Instant mashed potatoes were invented by Canadian Edward Asselbergs in 1962.,TRUE
boolean,medium,General Knowledge,The pickled gherkin was first added to hamburgers because a US health law required all fast-food to include a source of Vitamin C.,FALSE
boolean,easy,General Knowledge,Adolf Hitler was born in Australia. ,FALSE
boolean,easy,General Knowledge,The National Animal of Scotland is the Unicorn.,TRUE
boolean,hard,Entertainment: Books,"In Harry Potter and the Deathly Hallows, Hermione destroyed the fourth Horcrux by stabbing it with the Sword of Gryffindor.",FALSE
boolean,hard,Entertainment: Books,"Harry Potter was born on July 31st, 1980.",TRUE
boolean,medium,Entertainment: Books,"Originally, the character Charlie from Charlie and the Chocolate Factory was going to be black.",TRUE
boolean,easy,Entertainment: Books,The book 1984 was published in 1949.,TRUE
boolean,easy,Entertainment: Books,"The Harry Potter series of books, combined, are over 1,000,000 words in length.",TRUE
boolean,easy,Entertainment: Film,"In the original Star Wars trilogy, Alec Guinness provided the voice for Darth Vader.",FALSE
boolean,easy,Entertainment: Film,Ewan McGregor did not know the name of the second prequel film of Star Wars during and after filming.,TRUE
boolean,medium,Entertainment: Film,The color of the pills in the Matrix were Blue and Yellow.,FALSE
boolean,easy,Entertainment: Film,Actor Tommy Chong served prison time.,TRUE
boolean,easy,Entertainment: Film,Matt Damon played an astronaut stranded on an extraterrestrial planet in both of the movies Interstellar and The Martian.,TRUE
boolean,easy,Entertainment: Film,"In the original Star Wars trilogy, David Prowse was the actor who physically portrayed Darth Vader.",TRUE
boolean,easy,Entertainment: Music,"In 1993, Prince changed his name to an unpronounceable symbol because he was unhappy with his contract with Warner Bros.",TRUE
boolean,easy,Entertainment: Music,American rapper Dr. Dre actually has a Ph.D. doctorate.,FALSE
boolean,medium,Entertainment: Music,"3 members of 2 Live Crew were arrested for playing songs from their album, As Nasty As They Wanna Be, live.",TRUE
boolean,medium,Entertainment: Music,EDM label Monstercat signs tracks instead of artists.,TRUE
boolean,easy,Entertainment: Music,Eurobeat is primarily an Italian genre of music.,TRUE
boolean,medium,Entertainment: Music,Ashley Frangipane performs under the stage name Halsey.,TRUE
boolean,hard,Entertainment: Music,The band STRFKR was also briefly known as Pyramiddd.,TRUE
boolean,easy,Entertainment: Music,A Saxophone is a brass instrument.,FALSE
boolean,medium,Entertainment: Music,Nick Mason is the only member to appear on every Pink Floyd album.,TRUE
boolean,easy,Entertainment: Music,Muse is a British (English) rock band,TRUE
boolean,easy,Entertainment: Music,Lead Singer Rivers Cuomo of American rock band Weezer attended Harvard.,TRUE
boolean,medium,Entertainment: Music,"Scottish producer Calvin Harris is from the town of Dumfries, Scotland.",TRUE
boolean,easy,Entertainment: Music,The music group Daft Punk got their name from a negative review they recieved.,TRUE
boolean,medium,Entertainment: Video Games,Metal Gear Solid V: The Phantom Pain runs on the Fox Engine.,TRUE
boolean,easy,Entertainment: Video Games,Pac-Man was invented by the designer Toru Iwatani while he was eating pizza.,TRUE
boolean,medium,Entertainment: Video Games,"In Rocket League, you can play Basketball.",TRUE
boolean,easy,Entertainment: Video Games,"In Terraria, you can craft the Cell Phone pre-hardmode.",TRUE
boolean,easy,Entertainment: Video Games,"In Until Dawn, both characters Sam and Mike cannot be killed under any means until the final chapter of the game.",TRUE
boolean,medium,Entertainment: Video Games,Amazon acquired Twitch in August 2014 for $970 million dollars.,TRUE
boolean,medium,Entertainment: Video Games,"In Monster Hunter Generations, guild style is a type of hunting style.",TRUE
